crimeDate,CRIME_NUM,location_description
2021-02-18,119,STREET
2021-02-19,129,STREET
2021-02-20,145,STREET
2021-02-21,145,STREET
2021-02-22,127,STREET
2021-02-23,134,STREET
2021-02-24,139,STREET
2021-02-25,110,STREET
2021-02-26,117,STREET
2021-02-27,161,STREET
2021-02-28,141,STREET
2021-03-01,119,STREET
2021-03-02,132,STREET
2021-03-03,127,STREET
2021-03-04,122,STREET
2021-03-05,122,STREET
2021-03-06,133,STREET
2021-03-07,127,STREET
2021-03-08,146,STREET
2021-03-09,139,STREET
2021-03-10,147,STREET
2021-03-11,120,STREET
2021-03-12,142,STREET
2021-03-13,138,STREET
2021-03-14,148,STREET
2021-03-15,107,STREET
2021-03-16,114,STREET
2021-03-17,103,STREET
2021-03-18,101,STREET
2021-03-19,118,STREET
2021-03-20,112,STREET
2021-03-21,160,STREET
2021-03-22,130,STREET
2021-03-23,130,STREET
2021-03-24,111,STREET
2021-03-25,121,STREET
2021-03-26,125,STREET
2021-03-27,133,STREET
2021-03-28,140,STREET
2021-03-29,132,STREET
2021-03-30,121,STREET
2021-03-31,109,STREET
2021-04-01,116,STREET
2021-04-02,140,STREET
2021-04-03,154,STREET
2021-04-04,149,STREET
2021-04-05,131,STREET
2021-04-06,156,STREET
2021-04-07,150,STREET
2021-04-08,120,STREET
2021-04-09,123,STREET
2021-04-10,136,STREET
2021-04-11,133,STREET
2021-04-12,121,STREET
2021-04-13,113,STREET
2021-04-14,105,STREET
2021-04-15,130,STREET
2021-04-16,122,STREET
2021-04-17,148,STREET
2021-04-18,114,STREET
2021-04-19,111,STREET
2021-04-20,107,STREET
2021-04-21,104,STREET
2021-04-22,136,STREET
2021-04-23,129,STREET
2021-04-24,133,STREET
2021-04-25,132,STREET
2021-04-26,132,STREET
2021-04-27,174,STREET
2021-04-28,117,STREET
2021-04-29,99,STREET
2021-04-30,150,STREET
2021-05-01,195,STREET
2021-05-02,191,STREET
2021-05-03,124,STREET
2021-05-04,100,STREET
2021-05-05,138,STREET
2021-05-06,111,STREET
2021-05-07,115,STREET
2021-05-08,131,STREET
2021-05-09,134,STREET
2021-05-10,128,STREET
2021-05-11,115,STREET
2021-05-12,104,STREET
2021-05-13,129,STREET
2021-05-14,176,STREET
2021-05-15,175,STREET
2021-05-16,142,STREET
2021-05-17,160,STREET
2021-05-18,143,STREET
2021-05-19,142,STREET
2021-05-20,149,STREET
2021-05-21,158,STREET
2021-05-22,170,STREET
2021-05-23,178,STREET
2021-05-24,163,STREET
2021-05-25,164,STREET
2021-05-26,172,STREET
2021-05-27,128,STREET
2021-05-28,113,STREET
2021-05-29,157,STREET
2021-05-30,161,STREET
2021-05-31,154,STREET
2021-06-01,155,STREET
2021-06-02,156,STREET
2021-06-03,169,STREET
2021-06-04,155,STREET
2021-06-05,162,STREET
2021-06-06,190,STREET
2021-06-07,162,STREET
2021-06-08,157,STREET
2021-06-09,166,STREET
2021-06-10,163,STREET
2021-06-11,150,STREET
2021-06-12,149,STREET
2021-06-13,192,STREET
2021-06-14,161,STREET
2021-06-15,155,STREET
2021-06-16,146,STREET
2021-06-17,158,STREET
2021-06-18,173,STREET
2021-06-19,208,STREET
2021-06-20,179,STREET
2021-06-21,138,STREET
2021-06-22,184,STREET
2021-06-23,142,STREET
2021-06-24,154,STREET
2021-06-25,141,STREET
2021-06-26,132,STREET
2021-06-27,187,STREET
2021-06-28,167,STREET
2021-06-29,147,STREET
2021-06-30,141,STREET
2021-07-01,157,STREET
2021-07-02,178,STREET
2021-07-03,192,STREET
2021-07-04,194,STREET
2021-07-05,189,STREET
2021-07-06,142,STREET
2021-07-07,141,STREET
2021-07-08,143,STREET
2021-07-09,156,STREET
2021-07-10,169,STREET
2021-07-11,138,STREET
2021-07-12,136,STREET
2021-07-13,173,STREET
2021-07-14,132,STREET
2021-07-15,125,STREET
2021-07-16,167,STREET
2021-07-17,178,STREET
2021-07-18,152,STREET
2021-07-19,140,STREET
2021-07-20,134,STREET
2021-07-21,147,STREET
2021-07-22,140,STREET
2021-07-23,160,STREET
2021-07-24,156,STREET
2021-07-25,178,STREET
2021-07-26,147,STREET
2021-07-27,154,STREET
2021-07-28,137,STREET
2021-07-29,179,STREET
2021-07-30,133,STREET
2021-07-31,186,STREET
2021-08-01,190,STREET
2021-08-02,151,STREET
2021-08-03,143,STREET
2021-08-04,142,STREET
2021-08-05,133,STREET
2021-08-06,149,STREET
2021-08-07,157,STREET
2021-08-08,174,STREET
2021-08-09,135,STREET
2021-08-10,138,STREET
2021-08-11,124,STREET
2021-08-12,140,STREET
2021-08-13,112,STREET
2021-08-14,180,STREET
2021-08-15,164,STREET
2021-08-16,144,STREET
2021-08-17,138,STREET
2021-08-18,139,STREET
2021-08-19,141,STREET
2021-08-20,145,STREET
2021-08-21,166,STREET
2021-08-22,161,STREET
2021-08-23,149,STREET
2021-08-24,131,STREET
2021-08-25,118,STREET
2021-08-26,152,STREET
2021-08-27,173,STREET
2021-08-28,172,STREET
2021-08-29,196,STREET
2021-08-30,151,STREET
2021-08-31,141,STREET
2021-09-01,178,STREET
2021-09-02,142,STREET
2021-09-03,178,STREET
2021-09-04,178,STREET
2021-09-05,199,STREET
2021-09-06,162,STREET
2021-09-07,142,STREET
2021-09-08,155,STREET
2021-09-09,133,STREET
2021-09-10,176,STREET
2021-09-11,172,STREET
2021-09-12,194,STREET
2021-09-13,177,STREET
2021-09-14,152,STREET
2021-09-15,145,STREET
2021-09-16,175,STREET
2021-09-17,158,STREET
2021-09-18,192,STREET
2021-09-19,198,STREET
2021-09-20,172,STREET
2021-09-21,137,STREET
2021-09-22,155,STREET
2021-09-23,161,STREET
2021-09-24,165,STREET
2021-09-25,167,STREET
2021-09-26,179,STREET
2021-09-27,165,STREET
2021-09-28,184,STREET
2021-09-29,150,STREET
2021-09-30,147,STREET
2021-10-01,192,STREET
2021-10-02,194,STREET
2021-10-03,180,STREET
2021-10-04,173,STREET
2021-10-05,156,STREET
2021-10-06,153,STREET
2021-10-07,149,STREET
2021-10-08,133,STREET
2021-10-09,184,STREET
2021-10-10,149,STREET
2021-10-11,143,STREET
2021-10-12,170,STREET
2021-10-13,163,STREET
2021-10-14,157,STREET
2021-10-15,172,STREET
2021-10-16,158,STREET
2021-10-17,163,STREET
2021-10-18,162,STREET
2021-10-19,149,STREET
2021-10-20,144,STREET
2021-10-21,151,STREET
2021-10-22,156,STREET
2021-10-23,162,STREET
2021-10-24,135,STREET
2021-10-25,140,STREET
2021-10-26,175,STREET
2021-10-27,153,STREET
2021-10-28,139,STREET
2021-10-29,159,STREET
2021-10-30,166,STREET
2021-10-31,199,STREET
2021-11-01,147,STREET
2021-11-02,137,STREET
2021-11-03,140,STREET
2021-11-04,144,STREET
2021-11-05,143,STREET
2021-11-06,162,STREET
2021-11-07,199,STREET
2021-11-08,178,STREET
2021-11-09,147,STREET
2021-11-10,151,STREET
2021-11-11,151,STREET
2021-11-12,152,STREET
2021-11-13,159,STREET
2021-11-14,147,STREET
2021-11-15,150,STREET
2021-11-16,138,STREET
2021-11-17,132,STREET
2021-11-18,141,STREET
2021-11-19,166,STREET
2021-11-20,152,STREET
2021-11-21,166,STREET
2021-11-22,132,STREET
2021-11-23,129,STREET
2021-11-24,131,STREET
2021-11-25,106,STREET
2021-11-26,126,STREET
2021-11-27,151,STREET
2021-11-28,144,STREET
2021-11-29,141,STREET
2021-11-30,138,STREET
2021-12-01,147,STREET
2021-12-02,173,STREET
2021-12-03,175,STREET
