"","crimeDate","temp","Theft"
"814","2021-03-24",55.2,0.295918367346939
"815","2021-03-25",47,0.255102040816327
"816","2021-03-26",39.3,0.23469387755102
"817","2021-03-27",47.2,0.147959183673469
"818","2021-03-28",47.6,0.23469387755102
"819","2021-03-29",43.6,0.214285714285714
"820","2021-03-30",56.8,0.346938775510204
"821","2021-03-31",42.1,0.270408163265306
"822","2021-04-01",33.4,0.413265306122449
"823","2021-04-02",36,0.36734693877551
"824","2021-04-03",51.3,0.275510204081633
"825","2021-04-04",59.8,0.188775510204082
"826","2021-04-05",67,0.25
"827","2021-04-06",69.7,0.280612244897959
"828","2021-04-07",70.2,0.392857142857143
"829","2021-04-08",63.5,0.270408163265306
"830","2021-04-09",54.1,0.173469387755102
"831","2021-04-10",52.8,0.25
"832","2021-04-11",50.1,0.178571428571429
"833","2021-04-12",54.5,0.244897959183673
"834","2021-04-13",49.4,0.285714285714286
"835","2021-04-14",44.3,0.229591836734694
"836","2021-04-15",44.7,0.321428571428571
"837","2021-04-16",46.9,0.326530612244898
"838","2021-04-17",44.1,0.229591836734694
"839","2021-04-18",49.2,0.198979591836735
"840","2021-04-19",50.9,0.26530612244898
"841","2021-04-20",40.2,0.295918367346939
"842","2021-04-21",39.1,0.311224489795918
"843","2021-04-22",41.7,0.290816326530612
"844","2021-04-23",52.8,0.290816326530612
"845","2021-04-24",55.4,0.193877551020408
"846","2021-04-25",46.2,0.260204081632653
"847","2021-04-26",52.8,0.224489795918367
"848","2021-04-27",73.3,0.413265306122449
"849","2021-04-28",52.3,0.270408163265306
"850","2021-04-29",53.5,0.331632653061224
"851","2021-04-30",53.1,0.397959183673469
"852","2021-05-01",55.9,0.38265306122449
"853","2021-05-02",74.4,0.255102040816327
"854","2021-05-03",65.4,0.311224489795918
"855","2021-05-04",56.9,0.214285714285714
"856","2021-05-05",51.2,0.372448979591837
"857","2021-05-06",49.2,0.38265306122449
"858","2021-05-07",50.2,0.23469387755102
"859","2021-05-08",45,0.301020408163265
"860","2021-05-09",46.1,0.23469387755102
"861","2021-05-10",46.2,0.352040816326531
"862","2021-05-11",46.3,0.362244897959184
"863","2021-05-12",49.8,0.341836734693878
"864","2021-05-13",55.4,0.38265306122449
"865","2021-05-14",60.3,0.418367346938776
"866","2021-05-15",58.6,0.413265306122449
"867","2021-05-16",61.7,0.290816326530612
"868","2021-05-17",63.5,0.336734693877551
"869","2021-05-18",65.2,0.38265306122449
"870","2021-05-19",68.7,0.397959183673469
"871","2021-05-20",74.1,0.362244897959184
"872","2021-05-21",77.3,0.423469387755102
"873","2021-05-22",77.6,0.423469387755102
"874","2021-05-23",75.3,0.316326530612245
"875","2021-05-24",68.5,0.454081632653061
"876","2021-05-25",79,0.413265306122449
"877","2021-05-26",72.8,0.36734693877551
"878","2021-05-27",57.3,0.346938775510204
"879","2021-05-28",48.2,0.280612244897959
"880","2021-05-29",51.4,0.38265306122449
"881","2021-05-30",55.7,0.321428571428571
"882","2021-05-31",62.7,0.188775510204082
"883","2021-06-01",63.2,0.352040816326531
"884","2021-06-02",67.3,0.372448979591837
"885","2021-06-03",70.7,0.545918367346939
"886","2021-06-04",79.8,0.474489795918367
"887","2021-06-05",80.6,0.306122448979592
"888","2021-06-06",81.5,0.377551020408163
"889","2021-06-07",77.5,0.403061224489796
"890","2021-06-08",77.5,0.535714285714286
"891","2021-06-09",79.9,0.311224489795918
