"","month","day","year","CrimeTotalAssaultTheft.year.1","temp","Crime_Total","Theft","Assault"
"474","Apr","Tuesday",2021,2021,40.2,0.176570458404075,0.295918367346939,0.233333333333333
"475","Apr","Wednesday",2021,2021,39.1,0.205432937181664,0.311224489795918,0.216666666666667
"476","Apr","Thursday",2021,2021,41.7,0.264855687606112,0.290816326530612,0.583333333333333
"477","Apr","Friday",2021,2021,52.8,0.300509337860781,0.290816326530612,0.216666666666667
"478","Apr","Saturday",2021,2021,55.4,0.33955857385399,0.193877551020408,0.616666666666667
"479","Apr","Sunday",2021,2021,46.2,0.281833616298812,0.260204081632653,0.333333333333333
"480","Apr","Monday",2021,2021,52.8,0.33106960950764,0.224489795918367,0.516666666666667
"481","Apr","Tuesday",2021,2021,73.3,0.463497453310696,0.413265306122449,0.816666666666667
"482","Apr","Wednesday",2021,2021,52.3,0.3276740237691,0.270408163265306,0.516666666666667
"483","Apr","Thursday",2021,2021,53.5,0.196943972835314,0.331632653061224,0.183333333333333
"484","Apr","Friday",2021,2021,53.1,0.448217317487267,0.397959183673469,0.65
"485","May","Saturday",2021,2021,55.9,0.604414261460102,0.38265306122449,0.733333333333333
"486","May","Sunday",2021,2021,74.4,0.483870967741935,0.255102040816327,0.616666666666667
"487","May","Monday",2021,2021,65.4,0.370118845500849,0.311224489795918,0.516666666666667
"488","May","Tuesday",2021,2021,56.9,0.241086587436333,0.214285714285714,0.483333333333333
"489","May","Wednesday",2021,2021,51.2,0.409168081494058,0.372448979591837,0.583333333333333
"490","May","Thursday",2021,2021,49.2,0.280135823429542,0.38265306122449,0.416666666666667
"491","May","Friday",2021,2021,50.2,0.305602716468591,0.23469387755102,0.5
"492","May","Saturday",2021,2021,45,0.353140916808149,0.301020408163265,0.35
"493","May","Sunday",2021,2021,46.1,0.32427843803056,0.23469387755102,0.216666666666667
"494","May","Monday",2021,2021,46.2,0.32427843803056,0.352040816326531,0.0833333333333333
"495","May","Tuesday",2021,2021,46.3,0.33616298811545,0.362244897959184,0.4
"496","May","Wednesday",2021,2021,49.8,0.261460101867572,0.341836734693878,0.3
"497","May","Thursday",2021,2021,55.4,0.34974533106961,0.38265306122449,0.6
"498","May","Friday",2021,2021,60.3,0.477079796264856,0.418367346938776,0.616666666666667
"499","May","Saturday",2021,2021,58.6,0.458404074702886,0.413265306122449,0.35
"500","May","Sunday",2021,2021,61.7,0.385398981324278,0.290816326530612,0.4
"501","May","Monday",2021,2021,63.5,0.443123938879457,0.336734693877551,0.666666666666667
